cite1,cite2,n
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","Macready, GB, 1977, J EDUC STATIST, V2, P99, DOI DOI 10.3102/10769986002002099",19
"Hambleton, RK, 2000, ITEM RESPONE THEORY","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",19
"Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5","Leighton, JP, 2004, J EDUC MEAS, V41, P205, DOI 10.1111/J.1745-3984.2004.TB01163.X",19
"Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5","Tatsuoka, KK, 1990, DIAGNOSTIC MONITORING OF SKILL AND KNOWLEDGE ACQUISITION, P453",19
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Zwick, R, 1990, J EDUC STAT, V15, P185, DOI 10.3102/10769986015003185",19
"Joreskog, KG, 1971, PSYCHOMETRIKA, V36, P109, DOI 10.1007/BF02291393","Muthen, LK, 2018, MPLUS 7 USERS GUIDE",19
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","Liu, JC, 2012, APPL PSYCH MEAS, V36, P548, DOI 10.1177/0146621612456591",19
"Leighton, JP, 2004, J EDUC MEAS, V41, P205, DOI 10.1111/J.1745-3984.2004.TB01163.X","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",19
"Levine, MV, 1979, J EDUC STATIST, V4, P269, DOI DOI 10.2307/1164595","Snijders, TAB, 2001, PSYCHOMETRIKA, V66, P331, DOI 10.1007/BF02294437",19
"Linacre, JM, 1994, MANY FACET RASCH MEA","Rasch, GEORG, 1993, PROBABILISITIC MODEL",19
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Marco, GL, 1977, J EDUC MEAS, V14, P139, DOI 10.1111/J.1745-3984.1977.TB00033.X",19
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Mcdonald, RP, 1999, TEST THEORY UNIFED A",19
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Zumbo, BD, 1999, HDB THEORY METHODS D",19
"Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535","RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME",19
"Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",19
"Nandakumar, R, 1993, J EDUC STAT, V18, P41, DOI 10.3102/10769986018001041","Stout, W, 1996, APPL PSYCH MEAS, V20, P331, DOI 10.1177/014662169602000403",19
"Narayanan, P, 1994, APPL PSYCH MEAS, V18, P315, DOI 10.1177/014662169401800403","Roussos, LA, 1996, J EDUC MEAS, V33, P215, DOI 10.1111/J.1745-3984.1996.TB00490.X",19
"Narayanan, P, 1996, APPL PSYCH MEAS, V20, P257, DOI 10.1177/014662169602000306","Raju, NS, 1988, PSYCHOMETRIKA, V53, P495, DOI 10.1007/BF02294403",19
"Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146","Rasch, GEORG, 1993, PROBABILISITIC MODEL",19
"R Development Core, TEAM, 2017, LANG ENV STAT COMP","Rasch, GEORG, 1993, PROBABILISITIC MODEL",19
"RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME","Rupp, AA, 2008, MEAS-INTERDISCIP RES, V6, P219, DOI 10.1080/15366360802490866",19
"RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME","Tatsuoka, K, 1985, J ED STAT, V12, P55, DOI DOI 10.3102/10769986010001055",19
"Sireci, SG, 1991, J EDUC MEAS, V28, P237, DOI 10.1111/J.1745-3984.1991.TB00356.X","Thissen, DAVID, 1996, ED MEASUREMENT ISSUE, V15, P22, DOI DOI 10.1111/J.1745-3992.1996.TB00803.X",19
"Stout, W, 2001, ESSAYS ITEM RESPONSE, P357","Zhang, JM, 1999, PSYCHOMETRIKA, V64, P129, DOI 10.1007/BF02294532",19
"Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X","von Davier, M, 2008, BRIT J MATH STAT PSY, V61, P287, DOI 10.1348/000711007X193957",19
"Thissen, D, 1989, J EDUC MEAS, V26, P161, DOI 10.1111/J.1745-3984.1989.TB00326.X","Wainer, H, 1987, J EDUC MEAS, V24, P185, DOI 10.1111/J.1745-3984.1987.TB00274.X",19
"Agresti, A, 2013, CATEGORIACAL DATA AN","Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004",18
"Agresti, A, 2013, CATEGORIACAL DATA AN","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",18
"American Psychological, ASSOCIATION, 2010, PUBL MAN AM PSYCH AS","Cohen, J, 1994, AM PSYCHOL, V49, P997, DOI 10.1037/0003-066X.50.12.1103",18
"American Psychological, ASSOCIATION, 2010, PUBL MAN AM PSYCH AS","Cohen, JW, 1997, STAT POWER ANAL BEHA",18
"Andrich, D, 1978, PSYCHOMETRIKA, V43, P561, DOI 10.1007/BF02293814","Thissen, D, 1986, PSYCHOMETRIKA, V51, P567, DOI 10.1007/BF02295596",18
"Baker, FB, 2004, ITEM RESPONSE THEORY","Bock, RD, 1972, PSYCHOMETRIKA, V37, P29",18
"Baker, FB, 2004, ITEM RESPONSE THEORY","Warm, TA, 1989, PSYCHOMETRIKA, V54, P427, DOI 10.1007/BF02294627",18
"Beguin, AA, 2001, PSYCHOMETRIKA, V66, P541, DOI 10.1007/BF02296195","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",18
"Bentler, PM, 1980, PSYCHOL BULL, V88, P588, DOI 10.1037/0033-2909.107.2.238","Browne, MW, 1993, TESTING STRUCTURAL E, P132, DOI DOI 10.1177/0049124192021002005",18
"Bentler, PM, 1990, PSYCHOL BULL, V107, P238, DOI 10.1037/0033-2909.107.2.238","Bentler, PM, 2015, EQS",18
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146",18
"Bock, RD, 1970, PSYCHOMETRIKA, V35, P179","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",18
"Bock, RD, 1970, PSYCHOMETRIKA, V35, P179","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",18
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Hambleton, RK, 1995, FUNAMENTALS ITEM RES",18
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Thissen, D, 1993, DIFFERENTIAL ITEM FU, P67",18
"Bollen, KA, 2014, STRUCRURAL EQUATIONS","Browne, MW, 1993, TESTING STRUCTURAL E, P132, DOI DOI 10.1177/0049124192021002005",18
"Bollen, KA, 2014, STRUCRURAL EQUATIONS","Meredith, W, 1993, PSYCHOMETRIKA, V58, P525, DOI 10.1007/BF02294825",18
"Bollen, KA, 2014, STRUCRURAL EQUATIONS","Nunnally, JC, 1995, PSYCHOMETRIC THEORY",18
"Bradlow, ET, 1999, PSYCHOMETRIKA, V64, P153, DOI 10.1007/BF02294533","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",18
"Camilli, G, 1994, METHODS IDENTIFFING","Clauser, BE, 1998, ED MEASUREMENT ISSUE, V17, P31, DOI DOI 10.1111/J.1745-3992.1998.TB00619.X",18
"Camilli, G, 1994, METHODS IDENTIFFING","Thissen, D, 1988, TEST VALIDITY, P147",18
"Candell, GL, 1988, APPL PSYCH MEAS, V12, P253, DOI 10.1177/014662168801200304","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",18
"Cheng, Y, 2009, PSYCHOMETRIKA, V74, P619, DOI 10.1007/S11336-009-9123-2","Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X",18
"Cheung, GW, 2002, STRUCT EQU MODELING, V9, P233, DOI 10.1207/S15328007SEM0902_5","Muthen, LK, 2018, MPLUS 7 USERS GUIDE",18
"Clauser, BE, 1993, APPL MEAN EDUC, V6, P269, DOI [10.1207/S15324818AME0604_2, DOI 10.1207/S15324818AME0604_2]","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",18
"Clauser, BE, 1993, APPL MEAN EDUC, V6, P269, DOI [10.1207/S15324818AME0604_2, DOI 10.1207/S15324818AME0604_2]","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",18
"Clauser, BE, 1998, ED MEASUREMENT ISSUE, V17, P31, DOI DOI 10.1111/J.1745-3992.1998.TB00619.X","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",18
"Cohen, J, 1994, AM PSYCHOL, V49, P997, DOI 10.1037/0003-066X.50.12.1103","Cohen, JW, 1997, STAT POWER ANAL BEHA",18
"Cohen, J, 1994, AM PSYCHOL, V49, P997, DOI 10.1037/0003-066X.50.12.1103","Kirk, RE, 1996, EDUC PSYCHOL MEAS, V56, P746, DOI 10.1177/0013164496056005002",18
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Dibello, LV, 2007, HANDB STAT, V26, P979, DOI 10.1016/S0169-7161(06)26031-0",18
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Macready, GB, 1977, J EDUC STATIST, V2, P99, DOI DOI 10.3102/10769986002002099",18
"de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",18
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","Leighton, JP, 2004, J EDUC MEAS, V41, P205, DOI 10.1111/J.1745-3984.2004.TB01163.X",18
"Dibello, LV, 1995, COGNITIVELY DIAGNOST, P327","Tatsuoka, K, 1985, J ED STAT, V12, P55, DOI DOI 10.3102/10769986010001055",18
"Dibello, LV, 2007, HANDB STAT, V26, P979, DOI 10.1016/S0169-7161(06)26031-0","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",18
"Embretson, SE, 2000, ITEM RESONSE THEORY","Meijer, RR, 2001, APPL PSYCH MEAS, V25, P107, DOI 10.1177/01466210122031957",18
"Finch, H, 2005, APPL PSYCH MEAS, V29, P278, DOI 10.1177/0146621605275728","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",18
"Finch, H, 2005, APPL PSYCH MEAS, V29, P278, DOI 10.1177/0146621605275728","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",18
"Finch, H, 2005, APPL PSYCH MEAS, V29, P278, DOI 10.1177/0146621605275728","Thissen, D, 1988, TEST VALIDITY, P147",18
"Fischer, GH, 1973, ACTA PSYCHOL, V37, P359, DOI 10.1016/0001-6918(73)90003-6","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",18
"Gelfand, AE, 1990, J AM STAT ASSOC, V85, P398, DOI 10.2307/2289776","Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146",18
"Hambleton, RK, 1995, FUNAMENTALS ITEM RES","Hambleton, RK, 2000, ITEM RESPONE THEORY",18
"Hambleton, RK, 1995, FUNAMENTALS ITEM RES","Lord, FM, 2008, STAT THEORIES MENT",18
"Hambleton, RK, 1995, FUNAMENTALS ITEM RES","Stocking, ML, 1983, APPL PSYCH MEAS, V7, P201, DOI 10.1177/014662168300700208",18
"Hambleton, RK, 2000, ITEM RESPONE THEORY","van der Linden, WJ, 2016, HDB MODERN ITEM RESP",18
"Hanson, BA, 2002, APPL PSYCH MEAS, V26, P3, DOI 10.1177/0146621602026001001","Kim, SH, 1998, APPL PSYCH MEAS, V22, P131, DOI 10.1177/01466216980222003",18
"Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5","Rupp, AA, 2008, MEAS-INTERDISCIP RES, V6, P219, DOI 10.1080/15366360802490866",18
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Rasch, GEORG, 1993, PROBABILISITIC MODEL",18
"Jodoin, MG, 2001, APPL MEAS EDUC, V14, P329, DOI 10.1207/S15324818AME1404_2","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",18
"Levine, MV, 1979, J EDUC STATIST, V4, P269, DOI DOI 10.2307/1164595","Wright, BD, 1979, BEST TEST DESIGN",18
"Lord, FM, 2008, STAT THEORIES MENT","Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146",18
"Lord, FM, 2008, STAT THEORIES MENT","SCHWARZ G, 1978, ANN STAT, V6, P461, DOI 10.1214/AOS/1176344136",18
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Millsap, RE, 1993, APPL PSYCH MEAS, V17, P297, DOI 10.1177/014662169301700401",18
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Reckase, MD, 1985, APPL PSYCH MEAS, V9, P401, DOI 10.1177/014662168500900409",18
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Reckase, MD, 2009, STAT SOC BEHAV SC, P1, DOI 10.1007/978-0-387-89976-3_1",18
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","SCHWARZ G, 1978, ANN STAT, V6, P461, DOI 10.1214/AOS/1176344136",18
"Mantel, N, 1959, J NATL CANCER I, V22, P719","Thissen, D, 1993, DIFFERENTIAL ITEM FU, P67",18
"Meredith, W, 1993, PSYCHOMETRIKA, V58, P525, DOI 10.1007/BF02294825","Muthen, LK, 2018, MPLUS 7 USERS GUIDE",18
"Mulder, J, 2009, PSYCHOMETRIKA, V74, P273, DOI 10.1007/S11336-008-9097-5","Veldkamp, BP, 2002, PSYCHOMETRIKA, V67, P575, DOI 10.1007/BF02295132",18
"Narayanan, P, 1994, APPL PSYCH MEAS, V18, P315, DOI 10.1177/014662169401800403","Rogers, HJ, 1993, APPL PSYCH MEAS, V17, P105, DOI 10.1177/014662169301700201",18
"Narayanan, P, 1994, APPL PSYCH MEAS, V18, P315, DOI 10.1177/014662169401800403","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",18
"Raju, NS, 1988, PSYCHOMETRIKA, V53, P495, DOI 10.1007/BF02294403","Roussos, LA, 1996, J EDUC MEAS, V33, P215, DOI 10.1111/J.1745-3984.1996.TB00490.X",18
"Rasch, GEORG, 1993, PROBABILISITIC MODEL","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",18
"Reckase, MD, 1985, APPL PSYCH MEAS, V9, P401, DOI 10.1177/014662168500900409","Zhang, JM, 1999, PSYCHOMETRIKA, V64, P129, DOI 10.1007/BF02294532",18
"RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME","von Davier, M, 2007, 0516 ED TEST SERV",18
"Schmidt, FL, 1996, PSYCHOL METHODS, V1, P115, DOI 10.1037/1082-989X.1.2.115","Wilkinson, L, 1999, AM PSYCHOL, V54, P594, DOI 10.1037/0003-066X.54.8.594",18
"Segall, DO, 1996, PSYCHOMETRIKA, V61, P331, DOI 10.1007/BF02294343","Wang, C, 2011, PSYCHOMETRIKA, V76, P13, DOI 10.1007/S11336-010-9186-0",18
"Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572","Thissen, D, 1993, DIFFERENTIAL ITEM FU, P67",18
"Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572","Wang, WC, 2003, APPL PSYCH MEAS, V27, P479, DOI 10.1177/0146621603259902",18
"Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572","Zwick, R, 1990, J EDUC STAT, V15, P185, DOI 10.3102/10769986015003185",18
"Sireci, SG, 1991, J EDUC MEAS, V28, P237, DOI 10.1111/J.1745-3984.1991.TB00356.X","Thissen, D, 1989, J EDUC MEAS, V26, P161, DOI 10.1111/J.1745-3984.1989.TB00326.X",18
"Stout, W, 1987, PSYCHOMETRIKA, V52, P589, DOI 10.1007/BF02294821","Yen, WM, 1984, APPL PSYCH MEAS, V8, P125, DOI 10.1177/014662168400800201",18
"Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X","Tatsuoka, KK, 1995, COGNITIVELY DIAGNOST, P327",18
"Thissen, D, 1989, J EDUC MEAS, V26, P161, DOI 10.1111/J.1745-3984.1989.TB00326.X","Yen, WM, 1984, APPL PSYCH MEAS, V8, P125, DOI 10.1177/014662168400800201",18
"Wainer, H, 1987, J EDUC MEAS, V24, P185, DOI 10.1111/J.1745-3984.1987.TB00274.X","Wainer, H, 1995, APPL MEAS EDUC, V8, P157, DOI 10.1207/S15324818AME0802_4",18
"Adams, RJ, 1997, APPL PSYCH MEAS, V21, P1, DOI 10.1177/0146621697211001","Birnbaum, A, 2008, STAT THEORIES MENTAL, P17",17
"Adams, RJ, 1997, APPL PSYCH MEAS, V21, P1, DOI 10.1177/0146621697211001","De Boeck, P, 2004, EXPLANATORY ITEM RES",17
"Agresti, A, 2013, CATEGORIACAL DATA AN","Mantel, N, 1959, J NATL CANCER I, V22, P719",17
"American Psychological, ASSOCIATION, 2010, PUBL MAN AM PSYCH AS","Kirk, RE, 1996, EDUC PSYCHOL MEAS, V56, P746, DOI 10.1177/0013164496056005002",17
"Andrich, D, 1978, PSYCHOMETRIKA, V43, P561, DOI 10.1007/BF02293814","Linacre, JM, 1994, MANY FACET RASCH MEA",17
"Beguin, AA, 2001, PSYCHOMETRIKA, V66, P541, DOI 10.1007/BF02296195","Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801",17
"Bentler, PM, 1990, PSYCHOL BULL, V107, P238, DOI 10.1037/0033-2909.107.2.238","Browne, MW, 1993, TESTING STRUCTURAL E, P132, DOI DOI 10.1177/0049124192021002005",17
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","De Boeck, P, 2004, EXPLANATORY ITEM RES",17
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Hambleton, RK, 1995, FUNAMENTALS ITEM RES",17
"Bock, RD, 1970, PSYCHOMETRIKA, V35, P179","Lord, FM, 2008, STAT THEORIES MENT",17
"Bock, RD, 1972, PSYCHOMETRIKA, V37, P29","Embretson, SE, 2000, ITEM RESONSE THEORY",17
"Bock, RD, 1972, PSYCHOMETRIKA, V37, P29","Hambleton, RK, 2000, ITEM RESPONE THEORY",17
"Bock, RD, 1972, PSYCHOMETRIKA, V37, P29","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",17
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","De Boeck, P, 2004, EXPLANATORY ITEM RES",17
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Muthen, LK, 2018, MPLUS 7 USERS GUIDE",17
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","van der Linden, WJ, 2016, HDB MODERN ITEM RESP",17
"Bock, RD, 1982, APPL PSYCH MEAS, V6, P431, DOI 10.1177/014662168200600405","Hambleton, RK, 2000, ITEM RESPONE THEORY",17
"Bollen, KA, 2014, STRUCRURAL EQUATIONS","Cheung, GW, 2002, STRUCT EQU MODELING, V9, P233, DOI 10.1207/S15328007SEM0902_5",17
"Bradlow, ET, 1999, PSYCHOMETRIKA, V64, P153, DOI 10.1007/BF02294533","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",17
"Byrne, BM, 2013, STRUCTURAL EQUATING","Vandenberg, RJ, 2000, ORGAN RES METHODS, V3, P4, DOI 10.1177/109442810031002",17
"Camilli, G, 1994, METHODS IDENTIFFING","Roussos, LA, 1996, J EDUC MEAS, V33, P215, DOI 10.1111/J.1745-3984.1996.TB00490.X",17
"Candell, GL, 1988, APPL PSYCH MEAS, V12, P253, DOI 10.1177/014662168801200304","Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004",17
"Candell, GL, 1988, APPL PSYCH MEAS, V12, P253, DOI 10.1177/014662168801200304","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",17
"Chen, WH, 1997, J EDUC BEHAV STAT, V22, P265, DOI 10.2307/1165285","Sireci, SG, 1991, J EDUC MEAS, V28, P237, DOI 10.1111/J.1745-3984.1991.TB00356.X",17
"Cheng, Y, 2009, PSYCHOMETRIKA, V74, P619, DOI 10.1007/S11336-009-9123-2","RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME",17
"Cheng, Y, 2009, PSYCHOMETRIKA, V74, P619, DOI 10.1007/S11336-009-9123-2","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",17
"Cheng, Y, 2009, PSYCHOMETRIKA, V74, P619, DOI 10.1007/S11336-009-9123-2","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",17
"Cheung, GW, 2002, STRUCT EQU MODELING, V9, P233, DOI 10.1207/S15328007SEM0902_5","Kline, RB, 2016, PRINCIPKLES PRACTICE",17
"Chiu, CY, 2009, PSYCHOMETRIKA, V74, P633, DOI 10.1007/S11336-009-9125-0","de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640",17
"Clauser, BE, 1993, APPL MEAN EDUC, V6, P269, DOI [10.1207/S15324818AME0604_2, DOI 10.1207/S15324818AME0604_2]","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",17
"Cohen, JW, 1997, STAT POWER ANAL BEHA","Henson, RK, 2001, MEAS EVAL COUNS DEV, V34, P177, DOI 10.1080/07481756.2002.12069034",17
"Crocker, L, 2008, INTRO CLASSICAL MODE","Lord, FM, 2008, STAT THEORIES MENT",17
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","de la Torre, J, 2010, J EDUC MEAS, V47, P115, DOI 10.1111/J.1745-3984.2009.00102.X",17
"de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X","Decarlo, LT, 2011, APPL PSYCH MEAS, V35, P8, DOI 10.1177/0146621610377081",17
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","Tatsuoka, KK, 1990, DIAGNOSTIC MONITORING OF SKILL AND KNOWLEDGE ACQUISITION, P453",17
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","von Davier, M, 2007, 0516 ED TEST SERV",17
"Decarlo, LT, 2011, APPL PSYCH MEAS, V35, P8, DOI 10.1177/0146621610377081","Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545",17
"Dempster, AP, 1977, J ROY STAT SOC B MET, V39, P1","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",17
"Dorans, NJ, 1993, DIFFERENTIAL ITEM FU, P35","Jodoin, MG, 2001, APPL MEAS EDUC, V14, P329, DOI 10.1207/S15324818AME1404_2",17
"Finch, H, 2005, APPL PSYCH MEAS, V29, P278, DOI 10.1177/0146621605275728","Wang, WC, 2003, APPL PSYCH MEAS, V27, P479, DOI 10.1177/0146621603259902",17
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","Tatsuoka, KK, 1990, DIAGNOSTIC MONITORING OF SKILL AND KNOWLEDGE ACQUISITION, P453",17
"Hartz, SM, 2002, THESIS","Henson, R, 2005, APPL PSYCH MEAS, V29, P262, DOI 10.1177/0146621604272623",17
"Henson, RK, 2001, MEAS EVAL COUNS DEV, V34, P177, DOI 10.1080/07481756.2002.12069034","Wilkinson, L, 1999, AM PSYCHOL, V54, P594, DOI 10.1037/0003-066X.54.8.594",17
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",17
"Holland, PW, 2012, DIFFERENTIAL ITEM F","Mantel, N, 1959, J NATL CANCER I, V22, P719",17
"Holland, PW, 2012, DIFFERENTIAL ITEM F","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",17
"Hu, LT, 1999, STRUCT EQU MODELING, V6, P1, DOI 10.1080/10705519909540118","Kline, RB, 2016, PRINCIPKLES PRACTICE",17
"Kim, SH, 1998, APPL PSYCH MEAS, V22, P131, DOI 10.1177/01466216980222003","Thissen, D, 1988, TEST VALIDITY, P147",17
"Levine, MV, 1979, J EDUC STATIST, V4, P269, DOI DOI 10.2307/1164595","van Krimpen-Stoop, EMLA, 1999, APPL PSYCH MEAS, V23, P327, DOI 10.1177/01466219922031446",17
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Yen, WM, 1984, APPL PSYCH MEAS, V8, P125, DOI 10.1177/014662168400800201",17
"Mantel, N, 1959, J NATL CANCER I, V22, P719","Thissen, D, 1988, TEST VALIDITY, P147",17
"Mantel, N, 1959, J NATL CANCER I, V22, P719","Zieky, M, 1993, DIFFERENTIAL ITEM FU, P337",17
"Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535","Tatsuoka, K, 1985, J ED STAT, V12, P55, DOI DOI 10.3102/10769986010001055",17
"Mislevy, RL, 1997, BILOG 3 ITEM ANAL TE","Stocking, ML, 1983, APPL PSYCH MEAS, V7, P201, DOI 10.1177/014662168300700208",17
"Molenaar, IW, 1990, PSYCHOMETRIKA, V55, P75, DOI 10.1007/BF02294745","van Krimpen-Stoop, EMLA, 1999, APPL PSYCH MEAS, V23, P327, DOI 10.1177/01466219922031446",17
"Mulder, J, 2009, PSYCHOMETRIKA, V74, P273, DOI 10.1007/S11336-008-9097-5","Reckase, MD, 2009, STAT SOC BEHAV SC, P1, DOI 10.1007/978-0-387-89976-3_1",17
"Nandakumar, R, 1993, J EDUC STAT, V18, P41, DOI 10.3102/10769986018001041","Stout, W, 2001, ESSAYS ITEM RESPONSE, P357",17
"Narayanan, P, 1994, APPL PSYCH MEAS, V18, P315, DOI 10.1177/014662169401800403","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",17
"R Development Core, TEAM, 2017, LANG ENV STAT COMP","SCHWARZ G, 1978, ANN STAT, V6, P461, DOI 10.1214/AOS/1176344136",17
"Raju, NS, 1988, PSYCHOMETRIKA, V53, P495, DOI 10.1007/BF02294403","Thissen, D, 1993, DIFFERENTIAL ITEM FU, P67",17
"Raju, NS, 1988, PSYCHOMETRIKA, V53, P495, DOI 10.1007/BF02294403","Zumbo, BD, 1999, HDB THEORY METHODS D",17
